source,target
2975,6384
2975,2975
2975,530
1667883,2975
1232548,2975
1107983,2975
2975,52057
110380,2975
2975,3084
2975,3087
2975,8349
2975,5141
2975,5139
2975,5140
6384,6384
530,6384
6384,64
1776,6384
529,530
530,530
530,532
1954,530
20959,530
11521,530
1667883,1667883
1232548,1667883
1667883,37625
1667883,65731
1667883,4937
1232548,1232548
1107983,1107983
1107983,52057
110380,1107983
1107983,180659
1107983,1280183
1107983,181934
1107983,496175
1006651,1107983
1107983,2787630
1107983,89289
1107983,2954
1107983,33663
1107983,2301996
52057,52057
110380,52057
52057,8654
104053,52057
109686,52057
2089925,52057
1038,52057
4173,52057
349,52057
110380,110380
110380,19011
110380,146687
110380,74266
3084,3084
3084,3087
3084,8349
1158,3084
3084,3085
18269,3084
147,3084
3084,82702
3084,65605
3084,47775
3087,3087
3087,8349
1158,3087
3087,380
3085,3087
3087,8487
3087,8490
3087,6838
8349,8349
3203,8349
7862,8349
11367,8349
31028,8349
3266,8349
36059,8349
1179102,8349
21010,8349
101032,8349
3248327,8349
1151688,8349
3264883,8349
8349,928944
2022250,8349
8349,9979
514,8349
6193,8349
1892,8349
7796,8349
8349,851784
8349,89819
125025,8349
122889,8349
8349,84225
4724,8349
66743,8349
1461,8349
2098136,8349
2098137,8349
2098138,8349
5141,8349
5139,8349
5140,8349
5141,5141
5139,5141
5140,5141
11784,5141
5141,78021
16847,5141
2714,5141
18315,5141
5141,67599
1443708,5141
11006,5141
5139,5139
5139,5140
216108,5139
5139,97724
4955,5139
27995,5139
102429,5139
102334,5139
44762,5139
100360,5139
5139,62923
5139,62596
5139,64722
11357,5139
16178,5139
16847,5139
2714,5139
18315,5139
20903,5139
22082,5139
19506,5139
11770,5139
5139,515
349,5139
43774,5139
5139,99596
5139,61956
5140,5140
44762,5140
16178,5140
5140,64722
113,5140
4955,5140
15175,5140
3027,5140
131120,5140
1415341,64
64,64
1267653,64
1776,64
1003,64
524,64
3894,64
1810,64
3895,64
219479,64
1101349,64
1407495,64
10980,64
10989,64
10990,64
1,1776
1776,1776
1776,7879
1776,2559324
1776,2559325
1032,1776
1150,1776
1158,1776
134,1776
1776,2157
1006721,1776
11483,1776
1776,3084
1776,3087
1776,8349
529,529
529,532
46300,529
27889,529
1331,529
532,532
532,6384
2975,532
1954,1954
1954,20959
11521,1954
1954,41381
1151957,1954
1954,21596
1954,8658
1954,56097
1954,2048
1954,7218
11160,1954
1954,25308
162610,1954
1954,343
1954,820
1954,29459
1954,198642
1954,41746
1954,521
1062,1954
1063,1954
20959,20959
11521,20959
20959,57829
20959,9979
20959,36811
20959,2395
1870421,20959
20959,44796
20959,9780
20959,77896
20959,9789
