id,name
2975,Lawrence Fishburn
6384,Keanu Reeves
2975,Laurence Fishburne
530,Carrie-Anne Moss
1667883,Milo Gibson
1232548,Abigail Hawk
1107983,Martin Luther King
52057,Obba Babatundé
110380,Colin Powell
3084,Marlon Brando
3087,Robert Duvall
8349,Martin Sheen
5141,Heather Langenkamp
5139,Robert Englund
5140,Wes Craven
64,Gary Oldman
1776,Francis Ford Coppola
529,Guy Pearce
532,Joe Pantoliano
1954,Billy Zane
20959,Louis Gossett Jr.
11521,Kristin Minter
37625,Andrew Garfield
65731,Sam Worthington
4937,Vince Vaughn
180659,Rosa Parks
1280183,Coretta Scott King
181934,Al Sharpton
496175,Carmelo Anthony
1006651,John Lewis
2787630,Valentin Zorin
89289,Jesse Jackson
2954,Jeffrey Wright
33663,Donald Trump
2301996,Mike Pence
8654,Matthew Modine
104053,Michele Greene
109686,Flex Alexander
2089925,Harvey B. Jackson
1038,Jodie Foster
4173,Anthony Hopkins
349,Scott Glenn
19011,George W. Bush
146687,Tony Blair
74266,Dick Cheney
1158,Al Pacino
3085,James Caan
18269,Brendan Fraser
147,Michael Madsen
82702,Michael Jackson
65605,Muhammad Ali
47775,Marc Anthony
380,Robert De Niro
8487,Gregory Peck
8490,John Megna
6838,Frank Overton
3203,Russell Means
7862,Floyd 'Red Crow' Westerman
11367,Bradley Whitford
31028,Richard Schiff
3266,Joe Mantegna
36059,Joanna Pacula
1179102,Kathleen Kennedy
21010,Alexandra Hay
101032,Rod McCary
3248327,Philip Berrigan
1151688,Daniel Berrigan
3264883,Elizabeth McAlister
928944,Coleman Barks
2022250,Robert Bly
9979,Peter Coyote
514,Jack Nicholson
6193,Leonardo DiCaprio
1892,Matt Damon
7796,Illeana Douglas
851784,Mackenzie Foy
89819,Zachary Gordon
125025,Joey King
122889,Dane DeHaan
84225,Gil Birmingham
4724,Kevin Bacon
66743,Matt Bomer
1461,George Clooney
2098136,Brian Becker
2098137,Richard Becker
2098138,Blase Bonpane
11784,Tom Atkins
78021,Lloyd Kaufman
16847,Eli Roth
2714,Lance Henriksen
18315,Monica Keena
67599,Vanessa Hudgens
1443708,Kimiko Glenn
11006,James Marsden
216108,The Amazing Johnathan
97724,Steve Johnson
4955,Dario Argento
27995,Barbara Crampton
102429,Roger Corman
102334,Bruce D. Clark
44762,Forrest J. Ackerman
100360,John Zacherle
62923,Ray Bradbury
62596,Kane Hodder
64722,John Carl Buechler
11357,Bruce Campbell
16178,Rick Baker
20903,Josh Keaton
22082,Lacey Chabert
19506,James Arnold Taylor
11770,John Carpenter
515,Glenn Close
43774,Daniel Roebuck
99596,Bob Burns
61956,Chuck Williams
113,Christopher Lee
15175,William Friedkin
3027,Stephen King
131120,Henry Strozier
1415341,Kazuhiro Tsuji
1267653,Chet Zar
1003,Jean Reno
